0,0,0
391,37,71
852,36,72
49,38,71
428,39,71
113,37,72
707,36,71
184,37,72
431,41,71
868,47,71
404,38,71
979,35,72
36,38,71
292,36,71
786,37,71
215,43,71
908,41,72
584,41,71
295,38,71
213,39,71
18,39,71
56,39,70
411,38,70
181,37,71
30,35,71
205,35,71
985,36,72
743,38,71
261,37,71
595,37,71
438,35,70
581,38,71
136,37,71
917,38,72
30,44,71
246,41,71
255,38,70
104,40,71
542,36,71
508,37,71
261,37,71
660,35,71
997,37,71
736,38,71
337,37,71
232,36,71
318,35,70
613,37,70
43,37,71
49,37,71
27,37,72
-1,36,70
