0,0,0
75,41,72
515,42,71
77,35,71
630,35,71
311,38,72
765,38,71
959,40,71
933,42,71
27,47,71
136,40,72
36,42,71
35,40,70
625,39,71
165,41,71
847,37,71
789,37,71
188,38,71
515,36,71
308,38,71
368,38,71
598,38,71
569,37,71
766,37,71
343,37,71
909,37,72
119,37,71
153,38,71
968,38,71
859,38,71
706,39,70
810,39,70
784,38,71
112,37,70
33,38,71
687,37,71
56,37,70
69,38,71
131,38,72
145,37,71
362,38,71
307,35,70
260,39,71
973,38,72
1,38,71
796,38,71
709,39,71
526,38,71
498,38,70
342,38,71
122,41,71
-1,40,71
