0,0,0
55,42,71
300,38,71
173,40,71
753,41,71
38,43,71
899,44,71
808,42,71
471,40,71
667,42,71
75,42,71
777,41,70
674,41,71
317,41,71
242,37,71
994,38,71
761,37,71
661,38,71
204,38,71
762,38,71
316,37,72
195,36,72
985,36,71
901,37,72
296,36,71
531,36,71
829,37,71
205,38,71
901,37,71
429,38,71
661,37,71
638,36,71
531,37,71
15,38,71
518,36,71
214,38,71
15,39,71
340,38,71
514,38,71
919,39,71
996,38,71
660,38,70
484,38,71
745,39,71
165,38,71
588,39,71
768,39,71
443,39,71
599,38,71
618,37,71
149,37,71
-1,37,70
