0,0,0
362,89,91
412,88,91
205,88,93
246,89,93
903,89,91
309,89,90
223,88,90
258,89,91
621,88,92
574,88,93
336,88,89
104,88,91
259,89,91
24,88,90
781,89,92
762,88,90
179,89,90
678,88,91
575,88,91
409,89,93
300,89,93
196,88,90
770,88,92
481,88,90
426,88,90
155,88,91
323,88,91
628,89,90
553,89,91
393,89,92
319,89,91
825,89,91
957,89,91
85,88,93
635,88,92
689,89,90
39,89,90
893,89,90
239,89,91
416,89,91
341,89,90
880,89,91
975,89,91
732,89,91
449,89,90
120,89,91
791,89,91
207,89,94
232,89,89
819,89,91
-1,89,91
