0,0,0
613,91,92
977,91,94
646,91,93
62,91,92
522,90,93
956,91,93
770,91,95
770,90,94
103,91,93
850,90,95
392,90,95
782,90,95
931,90,94
419,89,92
252,89,94
54,90,92
252,90,95
161,90,93
894,90,93
163,90,95
199,90,93
743,90,93
951,89,93
879,91,93
315,91,93
120,91,95
563,91,93
143,92,95
600,91,94
788,91,93
186,91,95
822,92,95
706,90,93
902,90,93
520,91,93
692,90,93
546,90,96
805,91,92
896,90,93
591,91,93
606,90,95
339,91,95
798,90,94
961,90,93
488,91,94
619,91,93
148,90,93
119,90,93
832,90,94
919,90,94
-1,91,93
