0,0,0
690,89,91
783,88,91
388,89,90
437,88,91
863,88,92
589,88,91
63,88,90
569,87,92
631,89,92
32,89,91
322,86,87
652,86,85
213,85,90
277,87,91
359,87,91
588,87,91
751,88,92
124,88,90
334,88,92
73,88,91
39,88,91
588,89,92
528,88,90
659,88,91
96,89,91
961,89,90
391,87,88
651,87,90
415,89,92
458,89,91
587,88,91
123,88,91
765,89,92
401,88,91
52,88,91
262,88,90
225,88,91
355,88,90
132,88,92
401,89,90
382,89,90
213,89,90
695,89,91
205,88,90
501,89,91
30,89,91
555,89,92
794,89,91
700,89,93
245,89,91
-1,89,91
